id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
442,0.12484,51.397197,0.0878367,51.4053724,446.7,True,1801.5858865954297,1801.5858865954297,2313.5,2759.9,511.91411340457034,446.4000000000001,0.999328408327737
443,0.084817,51.393089,0.0771463,51.389065,130.6,True,1804.8891697557312,1804.8891697557312,2335,2465.6,530.1108302442688,130.5999999999999,0.9999999999999993
444,0.09274,51.406052,0.1020436,51.4261216,310.2,True,1806.5088529006566,1806.5088529006566,1877.0,2260.2,70.49114709934338,383.1999999999998,1.2353320438426816
445,0.068863,51.363587,0.089119,51.373289,335.1,True,1810.7053265924453,1810.7053265924453,2409.6,2743.5,598.8946734075546,333.9000000000001,0.9964189794091318
446,0.114786,51.372334,0.108507,51.3884701,206.3,True,1813.7659013703885,1813.7659013703885,2337.9,2544.2,524.1340986296116,206.29999999999973,0.9999999999999987
447,0.081064,51.3833,0.089119,51.373289,314.1,True,1816.8718739721392,1816.8718739721392,1919.9,2236.8,103.02812602786094,316.9000000000001,1.0089143584845592
448,0.07619,51.379044,0.0802488,51.3663199,263.8,True,1819.0435315954849,1819.0435315954849,2026.8,2289.7,207.7564684045151,262.89999999999986,0.9965883244882481
449,0.10582,51.41183,0.0951534,51.3625092,733.4,True,1820.515471901571,1820.515471901571,2406.2,3238.1,585.6845280984289,831.9000000000001,1.1343059721843471
450,0.096185,51.388034,0.1244413,51.3725376,405.4,True,1833.9764091780014,1833.9764091780014,2028.3,2433.7,194.32359082199855,405.39999999999986,0.9999999999999997
451,0.109215,51.379689,0.1228986,51.4125424,432.4,True,1835.5886835703413,1835.5886835703413,2189.1,2625.7,353.51131642965856,436.5999999999999,1.0097132284921368
452,0.100099,51.366114,0.089119,51.373289,203.8,True,1837.4054679561903,1837.4054679561903,1962.2,2166.0,124.7945320438098,203.79999999999995,0.9999999999999997
453,0.101896,51.389896,0.0762703,51.3889889,197.5,True,1839.2634247404972,1839.2634247404972,2103.9,2301.4,264.63657525950293,197.5,1.0
454,0.080021,51.39221,0.1045128,51.3735463,388.1,True,1845.822591739794,1845.822591739794,2022.2,2602.2,176.37740826020604,579.9999999999998,1.4944601906725064
455,0.026232,51.313855,0.0357493,51.3868699,859.7,True,1846.9515653713968,1846.9515653713968,2016.1,2877.8,169.14843462860313,861.7000000000003,1.0023263929277657
456,0.064314,51.361332,0.089119,51.373289,300.8,True,1848.0811152322945,1848.0811152322945,2071.5,2373.5,223.41888476770555,302.0,1.0039893617021276
457,0.100458,51.350672,0.1170276,51.3658723,507.6,True,1856.1762886777085,1856.1762886777085,2268.7,2777.3,412.5237113222913,508.60000000000036,1.0019700551615451
458,0.066913,51.385916,0.073723,51.3885306,108.1,True,1857.687619757627,1857.687619757627,2259.1,2397.5,401.4123802423728,138.4000000000001,1.280296022201666
459,0.122781,51.397657,0.0891605,51.4186214,505.7,True,1857.7282209320888,1857.7282209320888,2110.6,2616.4,252.87177906791112,505.8000000000002,1.0001977456990314
460,0.110431,51.359106,0.089119,51.373289,340.7,True,1870.2267615654068,1870.2267615654068,1902.2,2242.9,31.973238434593213,340.70000000000005,1.0000000000000002
461,0.089945,51.369735,0.089119,51.373289,142.2,True,1874.4301392766756,1874.4301392766756,1964.9,2107.1,90.46986072332447,142.19999999999982,0.9999999999999988
462,0.094388,51.35591,0.0769699,51.3674889,289.9,True,1881.9871835365423,1881.9871835365423,2368.3,2756.8,486.3128164634579,388.5,1.3401172818213178
463,0.116298,51.377198,0.0628724,51.4202717,624.1,True,1890.2748102464207,1890.2748102464207,2165.9,2794.5,275.62518975357943,628.5999999999999,1.0072103829514498
464,0.114259,51.387584,0.089119,51.373289,386.1,True,1903.639736945021,1903.639736945021,2274.5,2819.6,370.860263054979,545.0999999999999,1.4118104118104116
465,0.099487,51.378758,0.089119,51.373289,194.5,True,1910.8567692179258,1910.8567692179258,2058.8,2253.3,147.94323078207435,194.5,1.0
466,0.099062,51.40822,0.089119,51.373289,554.9,True,1912.111917914279,1912.111917914279,2189.9,2744.9,277.78808208572104,555.0,1.000180212650928
467,0.073624,51.368241,0.064268,51.3652498,133.8,True,1912.573551008862,1912.573551008862,1994.8,2128.6,82.22644899113789,133.79999999999995,0.9999999999999996
468,0.056691,51.3718,0.089119,51.373289,363.7,True,1913.704408959949,1913.704408959949,2393.8,2854.8,480.0955910400512,461.0,1.2675281825680507
469,0.078557,51.372413,0.072364,51.4100158,536.5,True,1916.5633762271523,1916.5633762271523,1965.7,2501.5,49.13662377284777,535.8,0.998695246971109
470,0.036302,51.347047,0.0218431,51.3047789,604,True,1922.4593486618783,1922.4593486618783,2331.1,3138.3,408.64065133812164,807.2000000000003,1.336423841059603
471,0.08295,51.368248,0.089119,51.373289,177.5,True,1928.617823924179,1928.617823924179,2175.6,2400.6,246.98217607582092,225.0,1.267605633802817
472,0.102267,51.388065,0.1228085,51.4125556,453.8,True,1931.5132949121116,1931.5132949121116,2382.6,2970.3,451.0867050878883,587.7000000000003,1.295063904803879
473,0.068632,51.371504,0.0602221,51.4062072,617.6,True,1931.6432468190847,1931.6432468190847,2261.4,3131.2,329.75675318091544,869.7999999999997,1.4083549222797922
474,0.099538,51.356318,0.089119,51.373289,434.8,True,1943.381169072701,1943.381169072701,2077.2,2512.0,133.8188309272989,434.8000000000002,1.0000000000000004
475,0.040067,51.374136,0.089119,51.373289,501.6,True,1954.4517887664197,1954.4517887664197,2107.3,2818.6,152.8482112335805,711.2999999999997,1.4180622009569372
476,0.081064,51.3833,0.089119,51.373289,314.1,True,1959.7669886952822,1959.7669886952822,2117.1,2430.4,157.33301130471773,313.3000000000002,0.9974530404329837
477,0.062565,51.423298,0.089119,51.373289,668.2,True,1965.7829256770733,1965.7829256770733,2400.2,3301.6,434.4170743229265,901.4000000000001,1.3489973061957499
478,0.065171,51.373174,0.0915148,51.360603,375.5,True,1971.9864547491431,1971.9864547491431,2429,2921.5,457.01354525085685,492.5,1.311584553928096
479,0.108925,51.362853,0.0449989,51.3823896,732.5,True,1975.8714158663727,1975.8714158663727,2335.7,3238.3,359.82858413362715,902.6000000000004,1.2322184300341301
480,0.069625,51.390469,0.089119,51.373289,397.4,True,1981.947884377005,1981.947884377005,2069.0,2504.4,87.05211562299496,435.4000000000001,1.0956215400100657
481,0.117908,51.39591,0.0775656,51.4093611,373.2,True,1993.7872566829758,1993.7872566829758,2353.8,2909.0,360.0127433170244,555.1999999999998,1.4876741693461946
482,0.103026,51.372833,0.089119,51.373289,153.7,True,1995.8291228482258,1995.8291228482258,2201.4,2355.1,205.5708771517743,153.69999999999982,0.9999999999999989
483,0.083318,51.377186,0.089119,51.373289,197.9,True,2001.256482678438,2001.256482678438,2071.5,2269.4,70.24351732156197,197.9000000000001,1.0000000000000004
484,0.115909,51.417365,0.089119,51.373289,632,True,2004.2541610603762,2004.2541610603762,2406.5,3356.7,402.2458389396238,950.1999999999998,1.5034810126582276
485,0.111733,51.338945,0.0570485,51.3952765,969.6,True,2006.4614449145013,2006.4614449145013,2547.9,3806.3,541.4385550854988,1258.4,1.2978547854785478
486,0.116784,51.401202,0.0448193,51.3638746,849.3,True,2010.419350583507,2010.419350583507,2238.7,3163.4,228.2806494164929,924.7000000000003,1.0887789944660313
487,0.103234,51.384592,0.1179406,51.4160227,506.3,True,2010.546119776019,2010.546119776019,2172.4,2679.0,161.85388022398115,506.5999999999999,1.000592534070709
488,0.09174,51.406888,0.1094282,51.3969447,247.2,True,2024.3992860003536,2024.3992860003536,2401.3,2762.7,376.90071399964654,361.39999999999964,1.461974110032361
489,0.107506,51.374706,0.089119,51.373289,232.9,True,2026.1269780712655,2026.1269780712655,2136.8,2369.7,110.67302192873467,232.89999999999964,0.9999999999999984
490,0.06307,51.384704,0.0499692,51.3920823,221.6,True,2031.5971428614798,2031.5971428614798,2574.4,2796.0,542.8028571385203,221.5999999999999,0.9999999999999997
491,0.024822,51.319134,0.0340381,51.3109729,119.5,True,2041.339456261209,2041.339456261209,2426.2,2545.7,384.86054373879074,119.5,1.0
492,0.09535,51.389157,0.0721067,51.4255343,457.5,True,2042.207502267785,2042.207502267785,2385.0,2933.9,342.792497732215,548.9000000000001,1.1997814207650275
493,0.045884,51.306573,0.089119,51.373289,1070.1,True,2068.220997540322,2068.220997540322,2103.2,3654.9,34.97900245967776,1551.7000000000003,1.4500513970656952
494,0.127619,51.357626,0.1124861,51.3694582,259.5,True,2069.142617272504,2069.142617272504,2631.4,2945.9,562.257382727496,314.5,1.211946050096339
