id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
35,0.099115,51.425726,0.089119,51.373289,771.5,True,1836.397927258258,1836.397927258258,2183.6,3001.8,347.20207274174186,818.2000000000003,1.0605314322747896
36,0.072148,51.392704,0.1042092,51.3673415,539.2,True,1869.977322816651,1869.977322816651,2233.9,3000.0,363.92267718334915,766.0999999999999,1.420808605341246
37,0.089034,51.387287,0.089119,51.373289,320.9,True,1924.1972850943098,1924.1972850943098,2626.6,2947.2,702.4027149056901,320.5999999999999,0.9990651293237767
38,0.072298,51.410093,0.1116723,51.4070349,390.8,True,1967.5213127847207,1967.5213127847207,2486.2,2879.7,518.6786872152791,393.5,1.0069089048106448
39,0.096927,51.362683,0.089119,51.373289,245.7,True,1969.5776915658312,1969.5776915658312,2439.3,2686.1,469.722308434169,246.79999999999973,1.0044770044770035
40,0.112424,51.3695,0.1276752,51.3577079,269.1,True,2075.120123857273,2075.120123857273,2271.8,2540.9,196.67987614272715,269.0999999999999,0.9999999999999996
41,0.089034,51.387287,0.089119,51.373289,320.9,True,2133.653424701185,2133.653424701185,2503.7,2824.6,370.0465752988148,320.9000000000001,1.0000000000000004
42,0.122778,51.396818,0.1016119,51.3777458,555.9,True,2162.6681682371927,2162.6681682371927,2814.7,3370.5,652.0318317628071,555.8000000000002,0.9998201115308513
43,0.138205,51.357036,0.0595359,51.3657969,711.5,True,2169.7004574234265,2169.7004574234265,2604.6,3318.0,434.89954257657337,713.4000000000001,1.0026704146170065
44,0.064314,51.361332,0.089119,51.373289,300.8,True,2241.09491925979,2241.09491925979,2401.5,2702.3,160.40508074021,300.8000000000002,1.0000000000000007
45,0.075669,51.394727,0.089119,51.373289,454.3,True,2246.4957566152675,2246.4957566152675,2304.6,2758.9,58.1042433847324,454.3000000000002,1.0000000000000004
46,0.094602,51.383965,0.0839182,51.3809862,125.6,True,2254.3348854797723,2254.3348854797723,2390.1,2515.7,135.7651145202276,125.59999999999991,0.9999999999999993
47,0.063368,51.363484,0.1019879,51.3760295,404.6,True,2337.8376717120127,2337.8376717120127,2643.5,3049.6,305.6623282879873,406.0999999999999,1.0037073652990605
48,0.113396,51.411691,0.089119,51.373289,590.9,True,2493.0436926385332,2493.0436926385332,2820.1,3425.3,327.0563073614667,605.2000000000003,1.0242003723134208
49,0.097363,51.351093,0.0918136,51.3525156,91.3,True,2502.893546413105,2502.893546413105,3088.1,3179.6,585.2064535868949,91.5,1.0021905805038336
50,0.061422,51.423203,0.0735866,51.4077248,181.2,True,2513.339359550544,2513.339359550544,2967.5,3149.9,454.16064044945597,182.4000000000001,1.0066225165562919
51,0.129365,51.418416,0.0348256,51.3867508,855.1,True,2551.25628051346,2551.25628051346,3112.3,3967.1,561.0437194865403,854.7999999999997,0.9996491638404862
52,0.122312,51.37633,0.089119,51.373289,419,True,2577.245619388694,2577.245619388694,2843.9,3262.4,266.6543806113059,418.5,0.9988066825775657
53,0.101423,51.379012,0.089119,51.373289,259.9,True,2659.9816047594445,2659.9816047594445,2742.5,3001.8,82.51839524055549,259.3000000000002,0.9976914197768381
54,0.089034,51.387287,0.089119,51.373289,320.9,True,2726.1124410833336,2726.1124410833336,3326.2,3648.7,600.0875589166662,322.5,1.0049859769398568
55,0.09856,51.363569,0.089119,51.373289,203.4,True,2767.6230215663136,2767.6230215663136,2967.4,3170.8,199.7769784336865,203.4000000000001,1.0000000000000004
56,0.069183,51.362918,0.101562,51.3779389,381.2,True,2887.229519459062,2887.229519459062,3237.0,3617,349.770480540938,380.0,0.9968520461699896
57,0.121565,51.371586,0.0996774,51.3768704,322.9,True,2912.796677434543,2912.796677434543,3332.8,3655.7,420.003322565457,322.89999999999964,0.9999999999999989
58,0.07818,51.383924,0.089119,51.373289,293.9,True,2924.950563886072,2924.950563886072,3204.5,3498.4,279.5494361139281,293.9000000000001,1.0000000000000004
59,0.081401,51.388653,0.0675172,51.3832604,222.4,True,2969.253527655305,2969.253527655305,3329.5,3551.9,360.2464723446951,222.4000000000001,1.0000000000000004
60,0.09534,51.363739,0.089119,51.373289,219.5,True,2977.218283084193,2977.218283084193,3282.4,3501.9,305.1817169158071,219.5,1.0
61,0.102026,51.381101,0.0727019,51.4070556,452.7,True,2992.140741300719,2992.140741300719,3567.9,4020.5,575.759258699281,452.5999999999999,0.9997791031588247
62,0.110573,51.363436,0.089119,51.373289,271.4,True,3061.0313889739914,3061.0313889739914,3523.6,3795.0,462.5686110260085,271.4000000000001,1.0000000000000004
63,0.109001,51.423575,0.089119,51.373289,685.4,True,3089.423673081701,3089.423673081701,3487.6,4189.3,398.17632691829886,701.7000000000003,1.023781733294427
64,0.064314,51.361332,0.089119,51.373289,300.8,True,3156.077740415815,3156.077740415815,3505.8,3806.6,349.7222595841854,300.7999999999997,0.999999999999999
65,0.122396,51.375257,0.0987561,51.3764703,344.4,True,3157.0536620777652,3157.0536620777652,3624.2,3970.4,467.1463379222346,346.2000000000003,1.005226480836238
66,0.071374,51.393462,0.0919326,51.4176149,497.7,True,3225.193041914494,3225.193041914494,3828.5,4325.8,603.3069580855058,497.3000000000002,0.9991963029937717
67,0.038145,51.309034,0.0250276,51.3156874,134.6,True,3281.406167081869,3281.406167081869,3406.1,3572.2,124.69383291813074,166.0999999999999,1.2340267459138181
68,0.028781,51.31216,0.0445705,51.315981,233.6,True,3393.6288988288893,3393.6288988288893,3514.8,3831.2,121.17110117111088,316.39999999999964,1.3544520547945191
69,0.076283,51.378991,0.0802076,51.3664129,265.7,True,3515.5661060202765,3515.5661060202765,3890.0,4157.2,374.4338939797235,267.1999999999998,1.0056454648099353
70,0.098577,51.363592,0.089119,51.373289,203.2,True,3582.092950446275,3582.092950446275,3841.3,4044.5,259.207049553725,203.19999999999982,0.9999999999999991
71,0.096181,51.367468,0.0802484,51.3663126,180.1,True,3654.7122385377056,3654.7122385377056,3801.9,3982.0,147.18776146229447,180.0999999999999,0.9999999999999996
72,0.045884,51.306573,0.089119,51.373289,1070.1,True,3668.3290495478964,3668.3290495478964,4029.1,5420.2,360.77095045210353,1391.1,1.2999719652368937
73,0.062946,51.31353,0.03648,51.3096226,353.9,True,3694.285885083564,3694.285885083564,4118.1,4472,423.8141149164362,353.89999999999964,0.999999999999999
74,0.065821,51.38644,0.089119,51.373289,434.6,True,3746.849219204654,3746.849219204654,4287.2,4928.0,540.3507807953456,640.8000000000002,1.474459272894616
75,0.056637,51.411386,0.0569894,51.4065875,76.3,True,3825.848006219138,3825.848006219138,4182.4,4258.7,356.5519937808617,76.30000000000018,1.0000000000000024
76,0.082499,51.384868,0.089119,51.373289,334,True,3886.3990920501333,3886.3990920501333,4182.6,4515.4,296.2009079498671,332.7999999999993,0.9964071856287403
77,0.051226,51.397776,0.089119,51.373289,629.1,True,3915.033924102155,3915.033924102155,4266.8,4962.6,351.766075897845,695.8000000000002,1.1060244794150376
78,0.064314,51.361332,0.089119,51.373289,300.8,True,3948.1623923767465,3948.1623923767465,4302.0,4602.7,353.83760762325346,300.6999999999998,0.9996675531914887
79,0.034504,51.391534,0.0479589,51.40898,316.5,True,3967.665932654029,3967.665932654029,4619.0,4936.3,651.3340673459711,317.3000000000002,1.0025276461295425
80,0.102026,51.381101,0.0727019,51.4070556,452.7,True,3971.3293556991816,3971.3293556991816,4414.7,4870.7,443.3706443008182,456.0,1.0072895957587806
81,0.099062,51.40822,0.089119,51.373289,554.9,True,4005.84311397801,4005.84311397801,4614.0,5241.5,608.15688602199,627.5,1.1308343845737971
82,0.086248,51.374171,0.1077191,51.3659631,269,True,4036.0779376047954,4036.0779376047954,4147.9,4417.3,111.82206239520428,269.40000000000055,1.0014869888475857
83,0.121868,51.395748,0.1020798,51.4191555,449.4,True,4063.9683859857823,4063.9683859857823,4596.4,5136.1,532.4316140142173,539.7000000000007,1.200934579439254
84,0.099538,51.356318,0.089119,51.373289,434.8,True,4105.053041978943,4105.053041978943,4519.3,4953.0,414.24695802105725,433.6999999999998,0.9974701011959517
85,0.116155,51.377148,0.0630004,51.4203747,599.3,True,4106.72836569594,4106.72836569594,4425.0,5014.4,318.27163430406017,589.3999999999996,0.9834807275154341
86,0.106251,51.405305,0.1106382,51.3932312,265.6,True,4135.294024720086,4135.294024720086,4770.3,5072.0,635.0059752799143,301.6999999999998,1.1359186746987944
87,0.097747,51.372635,0.089119,51.373289,122.4,True,4195.140797427928,4195.140797427928,4299.3,4421.7,104.15920257207199,122.39999999999964,0.999999999999997
88,0.033918,51.315659,0.089119,51.373289,1031.5,True,4228.685421114639,4228.685421114639,4390.9,5420.2,162.21457888536042,1029.3000000000002,0.9978671837130394
89,0.089034,51.387287,0.089119,51.373289,320.9,True,4253.982447766125,4253.982447766125,4606.0,4928.0,352.017552233875,322.0,1.0034278591461516
90,0.109171,51.379722,0.1228416,51.4125968,431.8,True,4371.121909678712,4371.121909678712,4586.0,5016.6,214.87809032128825,430.60000000000036,0.9972209356183427
91,0.114071,51.397822,0.1046423,51.424797,289.9,True,4380.529081046384,4380.529081046384,4751.1,5038.6,370.57091895361646,287.5,0.9917212832011039
