id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
115,0.089086,51.387357,0.089119,51.373289,322.1,TRUE,1811.349027,1811.349027,1884.5,2210.5,73.15097302,326,1.012108041
116,0.045282,51.38632,0.089119,51.373289,618.3,TRUE,1819.46231,1819.46231,2566,3269.1,746.5376895,703.1,1.137150251
117,0.03443,51.393481,0.089119,51.373289,697.2,TRUE,1824.113589,1824.113589,3164.7,4202.3,1340.586411,1037.6,1.488238669
118,0.081132,51.369741,0.089119,51.373289,170.9,TRUE,1834.368333,1834.368333,2481.8,2734,647.4316668,252.2,1.475716793
119,0.122312,51.37633,0.089119,51.373289,419,TRUE,1853.561095,1853.561095,3325,3856.3,1471.438905,531.3,1.268019093
120,0.08361,51.36273,0.089119,51.373289,243.5,TRUE,1858.683954,1858.683954,2362.2,2605.6,503.5160461,243.4,0.999589322
121,0.09534,51.363739,0.089119,51.373289,219.5,TRUE,1863.476762,1863.476762,2068.1,2287.3,204.6232375,219.2,0.998633257
122,0.033918,51.315659,0.089119,51.373289,1031.5,TRUE,1865.38185,1865.38185,2278.7,3619.7,413.31815,1341,1.300048473
123,0.078437,51.38731,0.089119,51.373289,345.8,TRUE,1866.794834,1866.794834,2284.8,2756.7,418.0051661,471.9,1.364661654
124,0.053597,51.415652,0.089119,51.373289,714.5,TRUE,1869.639215,1869.639215,2706.8,3423,837.160785,716.2,1.002379286
125,0.090883,51.358155,0.089119,51.373289,274.8,TRUE,1875.894102,1875.894102,2581.3,2856.1,705.4058984,274.8,1
126,0.08361,51.36273,0.089119,51.373289,243.5,TRUE,1876.672313,1876.672313,2148.3,2391.8,271.6276866,243.5,1
127,0.081132,51.369741,0.089119,51.373289,170.9,TRUE,1886.019178,1886.019178,1940,2110.9,53.98082181,170.9,1
128,0.07866,51.372605,0.1005907,51.3757966,208.7,TRUE,1932.666929,1932.666929,2286.8,2495.5,354.1330707,208.7,1
129,0.111865,51.338861,0.0571778,51.3953168,988.6,TRUE,1948.191611,1948.191611,3662.1,4919.5,1713.908389,1257.4,1.271899656
