Scenario,SA?,RB?,period,fleet size,capacity,demand rate,service rate,reqs served,of total reqs,ond rate,reqs served,of total reqs,adv rate,reqs served,of total reqs,wait time ond,wait time adv,inveh time,detour,service dist,service time,service pct,rebl dist,rebl time,rebl pct,load dist,load time
AVPT550,no,orp,3600,40,4,180.97,98.90710383,181,183,98.85714286,173,175,100,8,8,346.7439748,248.219001,514.3911969,1.071997656,26402.01971,2782.8825,77.30229167,3059.795006,312.7325,8.687013889,0.6532097,0.585427129
AVPT550,no,orp,3600,40,4,180.99,97.43589744,190,195,97.34042553,183,188,100,7,7,339.1883209,248.8886046,488.7939128,1.063799169,27796.49636,2937.3,81.59166667,2410.174824,232.9775,6.471597222,0.645245865,0.576103699
AVPT550,no,orp,3600,40,4,182.01,99.43820225,177,178,99.40828402,168,169,100,9,9,332.7929273,189.4120411,503.2118011,1.071747864,26906.03564,2873.5525,79.82090278,2521.264819,242.8225,6.745069444,0.685541987,0.61145895
AVPT550,no,orp,3600,40,4,179.75,100,152,152,100,145,145,100,7,7,320.8933414,77.90554492,450.709991,1.045970145,23699.68654,2564.3875,71.23298611,4734.017012,494.24,13.72888889,0.538821863,0.480252907
AVPT550,no,orp,3600,40,4,180.36,98.45360825,191,194,98.38709677,183,186,100,8,8,345.7693193,161.088802,514.5780105,1.100674988,30794.43557,3197.2475,88.81243056,830.8149094,80.6575,2.240486111,0.764067467,0.695701002
AVPT550,no,orp,3600,40,4,180,98.31460674,175,178,98.18181818,162,165,100,13,13,361.0951463,239.0693409,491.4702857,1.075523357,29559.20827,3007.5425,83.54284722,1546.764412,154.6,4.294444444,0.650683069,0.589751389
AVPT550,no,orp,3600,40,4,179.69,98.82352941,168,170,98.74213836,157,159,100,11,11,355.5906279,148.8337148,501.5047637,1.066713503,26706.97296,2817.0525,78.25145833,2481.089142,240.85,6.690277778,0.626453224,0.548229863
AVPT550,no,orp,3600,40,4,182.36,99.46524064,186,187,99.43820225,177,178,100,9,9,357.0400897,213.2381836,496.7965855,1.0762419,28769.3868,3028.665196,84.12958877,1352.303583,128.915,3.580972222,0.713496874,0.637426145
AVPT550,no,orp,3600,40,4,179.72,99.42857143,174,175,99.4011976,166,167,100,8,8,355.3322165,13.61252398,522.6015341,1.092226224,27169.26912,2952.5475,82.01520833,2225.312507,227.595,6.322083333,0.684997221,0.604231231
AVPT550,no,orp,3600,40,4,179.55,97.57575758,161,165,97.46835443,154,158,100,7,7,341.0375829,243.2355842,500.4608696,1.069659875,25691.2277,2677.445,74.37347222,2806.430836,269.4,7.483333333,0.67215772,0.570115972
,,,,,,,,,,,,,,,,354.0191327,,502.5668077,1.076072972,27579.21297,,80.46251497,2082.380096,,5.674222222,0.669557622,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVPT550,no,orp,3600,50,4,180.97,100,169,169,100,157,157,100,12,12,334.0161444,101.9395777,492.3927381,1.063938248,19602.54967,2148.258,59.67383333,3877.82887,413.738,11.49272222,0.551835347,0.448698737
AVPT550,no,orp,3600,50,4,183.77,98.86363636,174,176,98.81656805,167,169,100,7,7,349.19675,180.4795688,536.4208031,1.084060521,22051.63591,2296.076,63.77988889,4502.472096,468.638,13.01772222,0.604888624,0.535999554
AVPT550,no,orp,3600,50,4,180.41,98.97959184,194,196,98.93048128,185,187,100,9,9,339.9664229,171.215474,485.8796734,1.057072867,25302.54142,2659.117285,73.86436902,3142.648671,321.44,8.928888889,0.652651651,0.55282087
AVPT550,no,orp,3600,50,4,181.23,100,184,184,100,176,176,100,8,8,324.6943565,201.621009,489.3588502,1.056467023,21859.10387,2357.494,65.48594444,4336.154795,462.834,12.8565,0.600171101,0.492645158
